ACCURACY,MODEL
0.49666666984558105,cnn_5layer_mean_squared_error0.001
0.49666666984558105,cnn_5layer_squared_logarithmic_error0.01
0.5,cnn_5layer_binary_crossentropy0.1
0.5,cnn_5lyr_rmsprpmean_squared_logarithmic_error0.1
0.5,cnn_5lyr_rmsprpmean_squared_error0.01
0.5,cnn_5lyr_rmsprpmean_squared_error0.1
0.5,cnn_5lyr_rmsprpbinary_crossentropy0.001
0.5,cnn_5lyr_rmsprpbinary_crossentropy0.01
0.5,cnn_5lyr_rmsprpbinary_crossentropy0.1
0.5,cnn_5layer_mean_squared_logarithmic_error0.001
0.5,cnn_5layer_mean_squared_logarithmic_error0.1
0.5,cnn_5layer_mean_squared_error0.01
0.5,cnn_5layer_mean_squared_error0.1
0.5,cnn_5layer_binary_crossentropy0.001
0.5,cnn_5layer_binary_crossentropy0.01
0.5,cnn_5lyr_rmsprpmean_squared_logarithmic_error0.01
0.7833333611488342,cnn_5lyr_rmsprpmean_squared_error0.001
0.7866666913032532,cnn_5lyr_rmsprpmean_squared_logarithmic_error0.001
